"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Azerbaijan","AZE","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1560001373291","14.7720003128052","14.2419996261597","13.6379995346069","13.1459999084473","13.3900003433228","13.5290002822876","13.923999786377","14.0290002822876","13.7629995346069","13.9519996643066","15.1009998321533","15.2200002670288","15.1619997024536","15.1680002212524","20","21.0580005645752","17.9120006561279","19.2509994506836","20.7709999084473","21.5090007781982","21.9130001068115","22.2259998321533","21.9629993438721","21.7830009460449","22.1000003814697","22.1940002441406","22.9200000762939","23.0900001525879",
"Burundi","BDI","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.77299976348877","4.72200012207031","4.58699989318848","4.48299980163574","4.25600004196167","3.98900008201599","3.88700008392334","3.87100005149841","3.75999999046326","3.65100002288818","3.59299993515015","3.56500005722046","3.44199991226196","3.40000009536743","3.30699992179871","3.28999996185303","3.27600002288818","3.23399996757507","3.2279999256134","3.20199990272522","3.16899991035461","3.15700006484985","3.1340000629425","3.10999989509583","2.94700002670288","2.85500001907349","2.76900005340576","2.70799994468689","2.63599991798401",
"Belgium","BEL","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.7050018310547","40.4179992675781","39.6349983215332","38.6389999389648","38.0719985961914","37.2750015258789","37.3610000610352","37.3600006103516","36.2200012207031","36.1510009765625","35.4020004272461","35.5730018615723","34.9070014953613","35.6590003967285","34.9440002441406","35.5180015563965","34.9650001525879","36.1839981079102","34.6570014953613","34.2719993591309","34.4300003051758","32.6419982910156","32.7900009155273","32.6559982299805","32.7550010681152","32.443000793457","31.0779991149902","31.8939990997314","31.617000579834",
"Benin","BEN","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3819999694824","19.3509998321533","19.4060001373291","19.4260005950928","19.5060005187988","19.5049991607666","19.6110000610352","19.568000793457","19.6979999542236","19.8430004119873","20.0330009460449","20.0699996948242","20.068000793457","20.0300006866455","19.9020004272461","19.8740005493164","20.0170001983643","20.0410003662109","19.9599990844727","19.8910007476807","19.7800006866455","19.8269996643066","20.1599998474121","20.4479999542236","20.4309997558594","20.4300003051758","20.7730007171631","21.1119995117188","21.3729991912842",
"Burkina Faso","BFA","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.09299993515015","2.10400009155273","2.1470000743866","2.20300006866455","2.48900008201599","2.85599994659424","3.2590000629425","3.68799996376038","4.2960000038147","4.76900005340576","5.37200021743774","6.08500003814697","7.1100001335144","8.12800025939941","9.38599967956543","10.8629999160767","12.5710000991821","14.3830003738403","16.367000579834","18.761999130249","21.5340003967285","24.3589992523193","27.4409999847412","30.7709999084473","31.3059997558594","31.9969997406006","32.6189994812012","33.2779998779297","33.6959991455078",
"Bangladesh","BGD","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0979995727539","13.9490003585815","12.8500003814697","11.9040002822876","11.1280002593994","10.4209995269775","10.581000328064","10.7600002288818","11.043999671936","11.2980003356934","11.9119997024536","12.6140003204346","13.173999786377","13.7980003356934","14.581000328064","15.1300001144409","15.8730001449585","16.8500003814697","18.0419998168945","19.2070007324219","19.6259994506836","20.17799949646","20.8120002746582","21.0130004882813","21.6539993286133","22.2159996032715","21.9459991455078","22.3129997253418","22.7399997711182",
"Bulgaria","BGR","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6699981689453","44.875","43.5950012207031","42.7080001831055","42.1269989013672","40.9129981994629","40.1430015563965","39.7760009765625","38.4490013122559","37.6040000915527","36.3219985961914","36.1339988708496","35.7449989318848","36.7550010681152","38.8650016784668","40.0169982910156","41.4949989318848","43.0060005187988","42.3730010986328","40.7360000610352","38.1780014038086","36.939998626709","35.8759994506836","36.25","36.2130012512207","36.2729988098145","36.2980003356934","36.7970008850098","36.9640007019043",
"Bahrain","BHR","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.9029998779297","32.8979988098145","33.076000213623","32.9410018920898","32.8709983825684","32.6860008239746","32.5359992980957","32.375","32.3419990539551","32.5530014038086","32.5499992370605","33.0410003662109","33.7120018005371","34.8540000915527","36.1870002746582","37.810001373291","39.2879981994629","40.765998840332","41.0289993286133","42.6040000915527","41.9959983825684","41.9059982299805","42.0040016174316","42.1920013427734","42.1240005493164","42.2299995422363","42.2919998168945","41.9939994812012","41.6800003051758",
"Bahamas, The","BHS","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0130004882813","23.8199996948242","18.5930004119873","19.3349990844727","21.8640003204346","22.2369995117188","22.1270008087158","23.8250007629395","26.5939998626709","27.1560001373291","27.1079998016357","28.0709991455078","25.201000213623","25.9799995422363","29.3330001831055","30.4069995880127","29.2719993591309","27.0790004730225","27.3990001678467","27.4640007019043","27.1900005340576","27.5849990844727","26.6849994659424","26.6110000610352","25.0389995574951","24.6809997558594","24.6630001068115","24.8819999694824","24.3339996337891",
"Bosnia and Herzegovina","BIH","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.7280006408691","35.6529998779297","35.6100006103516","35.6119995117188","35.7550010681152","36.2960014343262","36.7649993896484","37.2369995117188","36.8390007019043","36.8889999389648","36.7239990234375","36.6290016174316","36.7150001525879","36.992000579834","37.132999420166","37.6629981994629","40.1829986572266","40.1150016784668","40.3219985961914","39.4129981994629","36.4290008544922","38.4269981384277","38.7050018310547","38.4129981994629","38.9519996643066","39.0390014648438","40.2470016479492","40.951000213623","41.0089988708496",
